"","Group.1","total","Var.t","lipid","Var.l","Var","SEM","Ratio","Site","Origin","Time"
"1","NN",78.01,2418.6755,12.57,34.7745,0.0160334887162742,5.66277117960354,16.1133188052814,"N","N","Post-exp"
"2","NO",79.575,93.596875,16.295,55.077625,0.00931786721559866,4.31691260407219,20.4775369148602,"O","N","Post-exp"
"3","ON",33.74,77.873,9.56,11.143,0.0152803029109693,5.52816477883381,28.3343212803794,"N","O","Post-exp"
"4","OO",69.88,365.6510625,10.93,21.9804375,0.00633309702255253,3.55895968579374,15.6410990269033,"O","O","Post-exp"
"5","N",262.39,11943.1355,28.58,383.76075,0.00763202698671364,3.90692385047716,10.8921833911353,"N","N","Initial"
"6","O",157.69,1650.073,16.08,9.71575,0.00108073730620086,1.47019543340392,10.1972223983766,"O","O","Initial"
