GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0005737	cytoplasm	cellular_component	2.75E-10		m.5755,m.10194,m.19927,m.26788,m.22691,m.32107,m.9560,m.1505,m.19482,m.17101,m.473,m.5486,m.7663,m.1560,m.4212,m.1163,m.5425,m.5546,m.23716,m.5624,m.9628,m.81,m.24964,m.15290,m.1834,m.7374,m.18366,m.9431,m.24081,m.5870,m.17476,m.36003,m.459,m.6868,m.4327,m.6705,m.23247,m.21024,m.22274,m.10938,m.26602,m.30980,m.5384,m.11786,m.2792,m.33455,m.5643,m.11472,m.104,m.6654,m.2030,m.5644,m.145,m.21438,m.5724,m.860,m.342,m.6977,m.8914,m.2856,m.20941,m.18060,m.32114,m.13371,m.6100,m.17897,m.5256,m.16246,m.9774	
GO:0048475	coated membrane	cellular_component	2.95E-5		m.104,m.26602,m.32107,m.6868,m.15290,m.1505,m.17101,m.5870	
GO:0030117	membrane coat	cellular_component	2.95E-5		m.104,m.26602,m.32107,m.6868,m.15290,m.1505,m.17101,m.5870	
GO:0005622	intracellular	cellular_component	6.85E-5		m.13423,m.5755,m.8866,m.10194,m.12732,m.19927,m.8903,m.26788,m.30248,m.22691,m.32107,m.9560,m.1505,m.19482,m.17101,m.9167,m.36305,m.473,m.12890,m.5486,m.7663,m.1560,m.4212,m.1163,m.5425,m.5546,m.23716,m.5624,m.22307,m.9628,m.81,m.24964,m.25410,m.15290,m.32417,m.1834,m.7374,m.18366,m.9431,m.24081,m.5870,m.17476,m.1276,m.36003,m.459,m.16997,m.772,m.6868,m.4327,m.19708,m.6705,m.23247,m.21024,m.22274,m.10938,m.25100,m.26602,m.30980,m.2139,m.5384,m.9342,m.11786,m.1761,m.5146,m.2792,m.33455,m.5643,m.11472,m.104,m.6654,m.2030,m.5644,m.145,m.21438,m.5724,m.860,m.342,m.6977,m.8914,m.2856,m.20941,m.28573,m.18060,m.27802,m.27407,m.32114,m.13371,m.6100,m.17897,m.5256,m.16246,m.6025,m.9774	
GO:0030118	clathrin coat	cellular_component	4.24E-4		m.104,m.26602,m.6868,m.1505,m.17101	
GO:0030120	vesicle coat	cellular_component	4.24E-4		m.104,m.26602,m.32107,m.15290,m.5870	
GO:0030662	coated vesicle membrane	cellular_component	6.27E-4		m.104,m.26602,m.32107,m.15290,m.5870	
GO:0044424	intracellular part	cellular_component	6.43E-4		m.13423,m.5755,m.8866,m.10194,m.19927,m.26788,m.22691,m.32107,m.9560,m.1505,m.19482,m.17101,m.9167,m.36305,m.473,m.12890,m.5486,m.7663,m.1560,m.4212,m.1163,m.5425,m.5546,m.23716,m.5624,m.22307,m.9628,m.81,m.24964,m.15290,m.1834,m.7374,m.18366,m.9431,m.24081,m.5870,m.17476,m.1276,m.36003,m.459,m.16997,m.772,m.6868,m.4327,m.6705,m.23247,m.21024,m.22274,m.10938,m.26602,m.30980,m.5384,m.11786,m.1761,m.2792,m.33455,m.5643,m.11472,m.104,m.6654,m.2030,m.5644,m.145,m.21438,m.5724,m.860,m.342,m.6977,m.8914,m.2856,m.20941,m.28573,m.18060,m.27802,m.27407,m.32114,m.13371,m.6100,m.17897,m.5256,m.16246,m.9774	
GO:0030659	cytoplasmic vesicle membrane	cellular_component	1.26E-3		m.104,m.26602,m.32107,m.15290,m.5870	
GO:0012506	vesicle membrane	cellular_component	1.26E-3		m.104,m.26602,m.32107,m.15290,m.5870	
