Site,Indiv,Origin,Treatment,Thickness
N,N1,N,NN,2.97
N,N1,N,NN,2.98
N,N1,N,NN,2.85
N,N1,N,NN,2.75
N,N1,N,NN,3.18
N,N1,N,NN,2.79
N,N1,N,NN,3.13
N,N1,N,NN,2.9
N,N1,N,NN,3.07
N,N1,N,NN,2.87
N,N2,N,NN,2.85
N,N2,N,NN,2.86
N,N2,N,NN,2.75
N,N2,N,NN,2.55
N,N2,N,NN,2.75
N,N2,N,NN,3.04
N,N2,N,NN,2.82
N,N2,N,NN,2.84
N,N2,N,NN,2.99
N,N2,N,NN,2.75
N,N3,N,NN,3.89
N,N3,N,NN,4.11
N,N3,N,NN,4.39
N,N3,N,NN,4.01
N,N3,N,NN,4.45
N,N3,N,NN,3.85
N,N3,N,NN,3.38
N,N3,N,NN,3.89
N,N3,N,NN,3.9
N,N3,N,NN,3.56
N,N4,N,NN,2.3
N,N4,N,NN,2.12
N,N4,N,NN,2.32
N,N4,N,NN,2.36
N,N4,N,NN,2.56
N,N4,N,NN,2.2
N,N4,N,NN,2.1
N,N4,N,NN,2.72
N,N4,N,NN,2.4
N,N4,N,NN,2.51
N,N5,N,NN,2.75
N,N5,N,NN,2.65
N,N5,N,NN,3.17
N,N5,N,NN,2.87
N,N5,N,NN,2.56
N,N5,N,NN,2.81
N,N5,N,NN,3.3
N,N5,N,NN,3.39
N,N5,N,NN,3.56
N,N5,N,NN,3.09
N,C1,O,ON,2.76
N,C1,O,ON,2.76
N,C1,O,ON,2.6
N,C1,O,ON,2.42
N,C1,O,ON,2.42
N,C1,O,ON,1.94
N,C1,O,ON,2.15
N,C1,O,ON,2.35
N,C1,O,ON,2.35
N,C1,O,ON,2.75
N,C2,O,ON,2.17
N,C2,O,ON,1.96
N,C2,O,ON,2.23
N,C2,O,ON,2.24
N,C2,O,ON,2.31
N,C2,O,ON,2.33
N,C2,O,ON,2.32
N,C2,O,ON,2.3
N,C2,O,ON,2.53
N,C2,O,ON,2.47
N,C3,O,ON,1.95
N,C3,O,ON,1.67
N,C3,O,ON,1.5
N,C3,O,ON,1.59
N,C3,O,ON,2.85
N,C3,O,ON,2.22
N,C3,O,ON,2.06
N,C3,O,ON,1.77
N,C3,O,ON,1.82
N,C3,O,ON,2.03
N,C4,O,ON,3.69
