"","PROTID","NN1","NN1","NN1","NN2","NN2","NN2","NN3","NN3","NN3","NO1","NO1","NO1","NO2","NO2","NO2","NO3","NO3","NO3","ON1","ON1","ON1","ON2","ON2","ON3","ON3","ON3","OO1","OO1","OO1","OO2","OO2","OO2","OO3","OO3","OO3"
"24","m.10132",11.2248,0,0,30.4668,10.3575,0,0,0,0,10.4459,0,0,21.9648,0,0,0,0,0,0,0,0,8.9665,10.128,0,0,0,0,0,25.6582,0,0,0,0,0,0
"25","m.10133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3084,0,0,0,0,0,10.5284,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","m.10134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","m.10135",17.4982,14.1589,16.8286,11.8736,4.0365,7.377,7.4815,11.5287,14.6947,28.4969,14.206,10.3564,17.1203,15.0582,14.698,15.0132,3.6416,7.32,8.1261,18.0512,13.6902,27.9555,35.5239,21.2973,29.1317,29.1415,13.335,13.6316,14.9993,4.7472,9.516,9.1446,14.1182,9.3429,14.3052
"28","m.10138",0,0,0,0,0,0,0,0,3.6194,8.0217,3.4991,3.4012,8.4337,0,0,7.3958,3.5879,7.2119,4.003,0,4.496,3.4428,3.8888,0,0,0,8.7587,13.4303,9.8519,9.3541,4.6877,4.5048,4.6366,4.6025,9.396
"29","m.10139",0,0,0,6.8204,6.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1066,23.5916,0,0,9.1751,0,0,0,7.8302,8.6158,8.1805,8.1992,7.8792,8.1097,8.0501,0
"30","m.10146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5205,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","m.10164",13.0122,0,0,11.7727,0,0,11.1269,0,0,12.1092,0,0,12.7312,0,0,0,0,0,0,0,0,10.3943,0,0,0,0,0,0,14.8719,0,0,0,0,0,0
"32","m.10166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","m.10168",0,20.037,0,0,0,0,0,0,0,8.6416,0,0,0,0,0,0,0,0,0,0,0,0,16.7572,0,0,0,0,0,0,0,0,0,0,0,0
"34","m.10181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","m.10182",8.2045,8.8517,7.8905,7.423,0,0,0,0,0,0,0,0,0,0,0,7.0393,6.8299,0,7.6202,0,0,0,0,0,0,0,0,8.522,0,0,0,8.5754,0,8.7613,0
"36","m.10183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","m.10194",10.7146,30.8261,13.7394,38.7759,46.138,24.0914,21.3785,28.2371,23.9944,39.8842,31.8952,28.1844,62.8993,30.735,38.9999,21.4503,23.7853,20.9171,23.2203,62.6347,55.8857,77.0302,64.4509,26.0818,28.5409,33.309,72.5809,63.0659,65.3117,69.7635,54.384,63.4609,61.4751,53.395,54.5031
"38","m.10196",14.089,0,0,12.747,0,0,0,0,0,13.1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1568,0,0
"39","m.10199",65.2986,70.4497,53.8285,42.199,25.8228,39.3273,63.8148,65.5571,62.6703,60.7673,53.013,29.4456,27.3808,24.0828,15.6712,32.0145,31.0621,15.6094,43.3204,57.739,38.9244,52.1612,58.9181,11.3537,12.4242,12.4284,66.3502,48.4471,74.6313,60.7377,71.0221,58.5006,90.3178,69.7305,81.3458
"40","m.1020",0,0,0,0,0,0,0,0.9362,0,0,0,0,0,0,0,0,0,0,0,0,2.2234,0,0,0,0,1.4198,0,0,1.218,0,0,0,0,0,0
"41","m.10205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","m.10216",7.7091,8.3172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8333,0,0,8.3658,0,0,8.2933,0,8.4032
"43","m.10239",0,0,0,0,0,0,0,0,0,0,0,0,7.1642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","m.1024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","m.10254",28.9775,46.8951,0,26.2173,0,0,24.7791,63.6393,36.5021,13.4833,11.7628,0,14.1759,0,0,49.7247,24.1227,0,13.457,29.8932,15.1142,0,13.073,17.6345,19.2972,19.3037,14.7221,30.099,33.1191,15.7229,15.7587,15.1438,15.5868,15.4721,15.7932
"46","m.10255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","m.1026",12.6106,0,0,5.7047,0,0,0,0,0,5.8677,5.119,4.9758,6.1691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","m.10260",8.8057,19.0006,8.4687,0,16.2506,0,0,0,0,8.1946,0,0,8.6155,0,0,0,0,0,8.1786,0,0,0,0,0,0,0,0,9.1465,20.1284,9.5557,9.5775,18.4075,9.473,0,28.7954
"49","m.10264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","m.10265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","m.1027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4234,13.5739,0,0,0,0,0,0,0,14.8719,0,0,0,0,13.8953,0
"52","m.10277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9127,11.3109,0,0,22.4259,0,0
"53","m.10289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6146,0,0,0,0,0,0,0,3.1517,3.0288,0,0,0
"54","m.10292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6548,5.0753,0,0,0,0,0,0,0,0
"55","m.103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","m.10304",80.8346,79.283,70.6741,13.2972,13.5616,12.3924,25.1357,25.822,18.5137,41.032,47.7281,46.3927,7.1899,6.3239,0,18.9151,12.2349,6.1483,20.4759,15.1617,22.9976,17.6104,19.8917,0,0,0,14.9339,15.2661,16.7978,15.9491,15.9854,15.3617,15.811,15.6947,16.0204
"57","m.10323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","m.10324",12.0171,22.6889,0,5.4362,2.7722,2.5331,15.4141,18.4741,17.6606,19.5706,4.8781,4.7416,14.697,7.7561,12.6176,2.5776,5.0019,2.5136,2.7903,18.5953,9.402,9.5994,10.8429,7.3131,12.004,8.0053,6.1053,0,6.8673,0,0,3.1401,0,3.2082,0
"59","m.10327",10.9247,1.9644,8.7555,6.5894,1.6801,3.0705,6.2279,1.5995,1.5291,0,0,0,5.3444,1.5669,4.5882,3.1244,4.5472,0,1.6911,0,0,1.4545,0,0,0,0,1.8501,0,4.162,0,0,1.9031,0,0,1.9847
"60","m.1033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.2125,0,0,0,18.701,19.117,42.0702,19.9723,20.0178,19.2367,0,0,0
"61","m.10334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","m.10342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","m.10346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5276,0,0,0,0,0,0,9.3396,0,0,0,8.7909,0,0
"64","m.1035",0,0,0,0,0,0,0,0,0,0,0,0,12.1139,0,0,0,0,0,11.4996,0,0,9.8903,0,15.0695,0,0,0,0,0,0,0,0,0,0,13.496
"65","m.10353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.458,0,0,0,0,0,20.8473,0,0,0,0,0,0
"66","m.10357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","m.1036",0,0,0,0,1.5814,1.4451,2.9311,1.5056,5.757,0,1.3914,2.7049,0,0,0,2.9409,5.7069,8.6035,0,0,0,0,3.0928,0,2.2826,2.2834,3.4829,0,1.9588,0,0,0,0,0,0
"68","m.10365",0,16.0102,0,0,0,0,12.6896,21.7267,8.308,0,0,0,0,0,0,38.1965,16.4712,24.8313,0,10.2057,10.3201,0,4.4632,0,0,0,20.1047,15.4139,16.9605,21.4715,21.5204,15.5105,26.6069,15.8467,21.5675
"69","m.10374",0,2.1931,0,0,0,0,5.2147,3.5714,3.4141,0,0,1.6041,1.9889,0,0,1.7441,1.6922,1.7007,0,0,0,0,1.8341,0,0,0,2.0655,0,2.3233,0,4.4218,2.1246,2.1868,2.1707,4.4315
"70","m.10378",2.8178,6.0802,2.71,5.0988,10.4004,7.1277,2.4096,4.9507,2.3663,5.2445,9.1506,6.671,5.5139,7.2747,4.7338,4.8353,2.3457,2.3576,0,5.8137,8.8184,2.2509,2.5425,0,0,0,8.5896,5.8537,16.1027,15.2892,15.324,8.8356,18.1881,9.0272,9.2145
"71","m.1038",90.3943,97.5251,121.7095,81.7839,116.774,121.9496,92.7573,79.4083,121.4584,100.9459,88.0646,85.6007,70.7539,77.7894,75.9289,124.0918,180.5997,105.8811,100.7487,149.2016,132.0156,115.5327,130.4988,44.0082,96.315,72.2607,146.9603,169.0074,165.3023,137.3318,157.3081,170.0659,155.5918,154.4472,157.6525
"72","m.10382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1198,7.1997,0,0,0,9.1922,0,0,0,0,0,0,0,0,0,0
"73","m.10387",16.8836,18.2154,4.0594,15.2753,15.5791,10.6769,10.8281,11.1237,10.6339,11.784,20.5605,9.9926,20.6487,18.1616,14.1818,10.8644,10.5412,7.0629,15.6813,21.7714,30.8218,23.6019,22.8508,5.1373,5.6217,5.6236,34.311,35.0741,28.945,32.063,32.136,35.2938,31.7854,27.0442,23.0046
"74","m.10393",0,0,0,0,0,0,0,0,0,8.1594,0,6.9191,8.5785,0,7.3648,0,0,0,0,0,0,0,0,21.343,0,11.6816,0,0,0,0,0,0,0,0,0
"75","m.104",23.1872,43.4494,28.1683,24.2909,34.9086,16.4639,86.616,98.6294,88.1372,59.056,39.6308,37.559,48.955,45.1588,45.1038,48.1652,38.6049,34.7154,80.4766,80.5724,85.2953,96.5102,86.9895,89.1205,73.1425,69.9153,58.2815,64.6482,54.3972,46.3515,49.1118,61.2264,48.576,41.7026,45.2286
"76","m.1041",0,5.5658,0,0,4.7603,4.3498,4.4114,4.5319,4.3323,0,4.1883,4.0711,0,0,0,4.4263,12.8837,12.9487,4.7915,5.3219,5.3816,4.121,0,0,0,6.8733,5.242,5.3585,5.8962,5.5983,5.6111,5.3921,5.5498,0,5.6233
"77","m.10419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","m.1042",0,0,0,5.584,0,0,0,0,0,5.7436,0,0,0,0,0,5.2955,0,0,0,6.367,0,4.9302,5.5689,0,8.2202,0,6.2713,6.4108,0,0,13.4258,6.451,6.6397,0,13.4552
"79","m.10423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","m.1044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6095,0
"81","m.10457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","m.10462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","m.10463",9.286,0,0,0,0,0,7.9406,0,0,0,0,0,9.0854,0,0,7.9673,0,0,8.6247,9.5794,0,14.8354,8.3786,0,0,0,18.871,0,10.6132,20.1539,0,9.7058,9.9897,19.8324,10.122
"84","m.10468",19.1523,41.3263,36.8389,40.4319,41.2358,53.8293,43.6732,50.4739,37.5288,53.4698,41.4638,50.3796,43.7237,43.951,37.5374,21.91,26.5726,21.3653,23.7179,52.6868,53.2777,25.4984,51.8427,46.6211,110.5365,93.5625,45.4084,39.7872,43.7793,34.6395,34.7184,40.0364,48.0754,40.9044,34.7944
"85","m.10469",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7449,0,0,0,0,0,0,0,0,0,0,0,0
"86","m.10472",3.7348,0,0,6.758,3.4462,3.1491,6.3873,3.2809,3.1364,3.4756,3.0321,8.8418,10.9623,6.4279,6.2742,0,0,0,3.4688,15.4111,15.584,2.9834,6.7397,4.5456,4.9742,9.9518,11.3847,19.3965,29.8798,20.2644,20.3106,15.6144,16.0712,23.9294,16.284
"87","m.10484",0,9.9282,0,0,8.4913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5175,0,0,0,9.8997,0,0
"88","m.10496",102.8311,96.1506,131.8617,74.4289,69.5829,63.5836,134.8302,132.4892,132.4121,82.936,122.4433,124.4274,46.9516,35.3968,69.1004,129.4011,125.5511,97.5061,63.6723,99.0088,107.2706,93.0949,68.0411,41.7191,82.1748,82.2026,76.624,85.4489,86.1874,74.3936,82.0193,93.1495,73.7495,80.5277,89.6715
"89","m.10498",0,0,0,0,9.0195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","m.10499",0,0,0,0,8.8087,0,0,0,0,8.8839,7.7502,7.5334,9.3402,0,8.0187,0,0,0,0,0,0,0,0,11.619,12.7145,12.7188,0,0,10.9107,0,0,0,0,0,0
"91","m.1050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","m.1054",71.6811,69.6021,34.4691,58.3679,66.1426,36.264,36.7775,56.6724,72.2358,73.3776,46.5558,33.9399,49.0933,37.0114,36.1262,61.5016,53.7047,41.9809,39.946,73.9464,59.8206,74.4375,103.4833,69.7954,105.0172,57.3014,65.552,89.3466,57.3483,77.7869,46.7784,82.414,69.4021,61.237,23.4404
"93","m.10543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","m.10547",0,1.3374,0,0,0,0,1.06,0,1.041,0,0,0,0,1.0668,0,0,0,0,0,0,1.2931,0.9902,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","m.10556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","m.10557",31.1895,33.6499,14.998,14.1093,28.7796,26.2983,26.6707,27.3989,13.0962,14.5126,12.6607,12.3065,30.516,13.4202,0,13.3801,0,13.0475,0,16.0876,0,12.4572,14.071,18.9806,20.7702,20.7772,0,16.1983,17.8236,0,0,0,16.7766,16.6532,16.9988
"97","m.10558",46.4298,37.5693,66.9797,21.0036,32.1318,19.5743,19.8515,10.1967,9.7477,32.4059,37.6943,27.4798,11.3568,9.9889,19.4999,19.9181,38.6511,19.423,32.3426,23.9486,24.2171,37.0886,52.3664,70.6381,15.4597,15.4649,23.5888,24.1134,26.5329,25.1924,25.2497,24.2645,24.9742,24.7905,25.305
"98","m.10560",23.9217,10.3235,4.6013,38.9575,17.6587,4.034,36.8205,4.2029,24.1068,35.6187,23.3052,11.3266,42.1292,12.3516,16.0749,12.3147,15.9311,12.0086,22.2182,34.5487,34.9362,42.0396,43.1685,29.1155,31.8607,38.2457,29.1683,29.8171,49.2132,20.7675,15.6111,25.0032,25.7346,30.6543,26.0754
"99","m.10567",0,0,0,0,0,0,5.9218,0,0,0,0,0,0,0,0,11.8834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","m.10575",3.1333,6.7609,3.0134,2.8348,2.8912,2.6419,5.3587,2.7525,2.6313,5.8317,2.5438,2.4726,3.0656,5.3928,0,5.3767,5.2167,2.6215,2.9102,0,0,2.5029,2.8271,0,8.3463,4.1746,3.1838,3.2546,0,0,0,3.275,3.3708,0,3.4154
"101","m.10586",0,0,4.7457,0,0,0,0,4.3348,4.144,0,0,0,0,0,0,4.2338,4.1078,8.2571,0,5.0905,0,0,4.4524,0,0,0,0,0,0,0,5.3671,0,0,0,5.3788
"102","m.10597",0,0,0,0,5.464,0,5.0636,5.2018,4.9728,0,0,0,0,0,0,0,0,9.9085,5.4998,6.1086,6.1771,0,0,0,0,0,6.0169,6.1507,0,6.4259,19.3215,0,6.3702,6.3234,6.4546
"103","m.10598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","m.1060",0,0,13.3656,12.5736,25.6471,23.4359,11.8839,24.4167,11.6708,12.933,11.2827,0,27.1945,11.9595,0,11.9238,0,0,12.9077,14.3365,14.4973,11.1014,0,16.9147,55.5286,55.5473,14.1212,0,31.7673,45.2434,30.231,43.577,14.9506,29.6812,30.2972
"105","m.10600",10.1637,21.931,19.5496,9.1956,0,0,0,0,0,9.4584,0,0,9.9443,8.7465,8.5373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","m.10601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0735,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","m.10605",8.7804,6.3154,0,5.296,5.4013,2.4678,7.5083,5.1422,4.9158,5.4474,4.7523,0,5.7272,5.0374,0,15.067,0,0,5.4368,3.0193,3.0532,9.3519,2.6408,0,0,0,5.9479,3.0401,3.3451,9.5283,9.55,9.1774,6.2972,6.2509,6.3806
"108","m.10613",0,10.0642,0,0,0,0,0,0,0,8.681,0,0,9.1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","m.10621",0,0,0,30.8053,17.953,8.2026,54.0716,29.9104,24.5086,4.5265,0,0,28.5543,8.3716,8.1714,50.0799,20.2458,0,9.0354,5.0178,5.0741,34.9693,21.944,0,0,0,0,0,5.5593,0,0,0,0,5.1942,5.302
"110","m.10630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","m.10633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","m.10642",0,0,0,4.7151,0,0,0,0,4.3765,0,0,4.1126,5.099,0,8.7551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","m.10645",0,0,7.6449,7.1919,36.6744,6.7025,0,0,0,7.3975,0,0,23.3323,6.8406,0,0,0,0,0,0,0,0,7.1724,9.6749,0,0,0,0,0,0,0,0,0,0,0
"114","m.10669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","m.10676",19.6434,0,18.8917,0,0,0,16.7974,0,16.4962,36.5605,0,0,19.2192,0,16.4999,16.8538,0,16.4348,0,20.2642,20.4914,0,17.724,0,0,0,19.9598,0,0,0,0,0,0,0,0
"116","m.10687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","m.1069",19.2728,10.3965,0,13.0777,13.3377,8.1252,20.6006,4.2326,8.0925,22.4192,3.9117,7.6045,23.5707,12.439,12.1415,12.4019,4.011,4.0312,4.4751,4.9705,10.0524,11.5465,8.6948,5.8643,25.6689,19.2581,0,0,11.0137,5.2286,0,0,5.1833,5.1452,10.504
"118","m.10693",0,4.8871,4.3564,0,4.1797,3.8194,7.7469,0,0,8.4308,3.6775,0,4.4319,0,0,3.8865,0,0,4.2072,4.6729,4.7253,0,8.1743,5.5132,0,0,9.2054,4.7051,15.5315,4.9156,4.9268,4.7345,4.873,4.8372,4.9376
"119","m.107",165.0838,155.8432,178.6126,37.3397,57.1232,52.1981,105.8745,72.5102,103.9758,76.8141,100.5182,65.1372,100.9494,124.3059,138.6662,70.82,51.5348,69.0596,95.83,42.5752,43.0527,164.8383,130.334,25.1158,54.9677,82.4793,125.8069,128.605,141.5088,111.9661,89.7768,86.2736,133.196,110.1802,112.4668
"120","m.10713",56.2269,40.4416,72.1005,67.8281,60.5296,31.6062,88.1478,90.5546,86.567,61.046,53.2562,44.371,91.688,40.322,62.9723,56.2824,62.4091,78.4048,60.9268,48.3365,68.4301,52.4004,67.6439,45.6231,99.8495,87.3978,76.1767,77.8709,139.2368,111.8633,101.9255,88.1534,80.6508,90.0647,91.9338
"121","m.10714",23.8102,30.8261,9.1596,51.7012,35.1527,40.1524,57.0094,37.6495,39.9907,53.179,38.6609,18.7896,51.2512,28.686,31.9999,44.9435,55.499,43.8263,30.9605,24.5626,39.741,19.0198,25.7804,28.9797,12.6848,19.0337,43.5485,59.3561,59.8691,56.8443,62.1532,54.7506,61.4751,61.0229,77.8616
