"","PROTID","NN1","NN1","NN1","NN2","NN2","NN2","NN3","NN3","NN3","NO1","NO1","NO1","NO2","NO2","NO2","NO3","NO3","NO3","ON1","ON1","ON1","ON2","ON2","ON3","ON3","ON3","OO1","OO1","OO1","OO2","OO2","OO2","OO3","OO3","OO3"
"1","m.1",11.2868,12.1772,5.4275,0,15.6221,9.5168,9.6515,14.8726,14.2177,5.2518,9.1633,8.9069,5.5215,9.7129,4.7403,9.684,4.6979,4.7216,0,0,0,13.524,15.2759,0,0,0,0,0,0,0,0,0,0,0,0
"2","m.1000",95.4632,133.892,55.0861,103.6439,61.661,64.3939,65.3058,117.4055,128.2692,97.7226,170.5052,82.8674,74.7214,41.0757,24.056,106.4783,87.4165,103.8314,79.7986,157.5681,159.3352,83.8827,94.7488,46.4759,89.0014,76.3127,184.3012,178.4845,185.4823,196.83,197.2783,149.6686,154.0468,173.3021,176.8987
"3","m.10001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","m.10005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","m.10007",0,0,4.9118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","m.10009",0,10.6994,0,0,18.3016,33.4473,0,17.4236,8.3282,36.9155,16.1024,15.6519,9.7029,17.0684,33.3203,17.0174,24.7667,24.8916,9.2108,30.6914,20.6904,23.7655,26.8441,12.0702,13.2083,13.2127,30.2303,30.9027,0,32.2854,32.3589,41.4616,21.3372,21.1803,32.4297
"7","m.10012",29.3944,39.6415,28.2696,13.2972,6.7808,6.1962,6.2839,0,12.3425,13.6773,5.966,17.3973,0,0,0,18.9151,12.2349,12.2966,0,15.1617,7.6659,5.8701,0,0,9.7874,0,0,0,0,0,0,0,0,0,0
"8","m.10015",49.8271,64.5093,57.5045,54.0971,27.5863,33.6105,42.608,43.7714,58.5815,55.6434,56.6334,55.0489,58.5014,51.4549,58.5949,76.952,74.6626,91.7145,74.0462,61.6821,51.9783,55.7234,53.9501,48.5163,26.5454,13.2772,81.0074,93.1602,113.8973,97.3285,86.7113,83.3277,85.7652,85.1343,97.7638
"9","m.1002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1683,4.261,9.3771,4.4517,8.9236,0,0,0,0
"10","m.10023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6704,0,0,14.3307,0,0,0
"11","m.10038",9.6364,10.3965,9.2676,0,8.8918,8.1252,0,0,0,17.9354,23.4701,0,0,0,8.0943,16.5358,0,0,0,0,0,0,8.6948,0,0,0,9.7916,0,11.0137,10.4572,0,0,0,0,0
"12","m.1005",24.6134,17.7034,15.781,14.8459,18.9264,24.2124,21.0473,28.8293,13.7799,34.3581,29.9738,22.6607,24.0819,17.651,10.3373,45.7557,27.3196,24.0252,30.4809,25.3912,25.676,29.4922,33.3126,24.9645,27.3183,21.862,25.0098,34.0881,42.1969,31.1616,26.7708,34.3016,35.305,39.4259,40.2441
"13","m.10055",0,0,0,0,0,0,0,0,0,2.469,0,0,0,0,0,0,0,0,0,0,0,2.1193,2.3939,3.2292,0,0,0,0,0,0,2.8857,0,0,2.8332,0
"14","m.10061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1998,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","m.1007",0,0,0,0,0,0,0,0,0,11.9569,0,0,0,0,10.7924,0,0,0,0,0,0,0,23.1861,0,0,0,0,13.3458,0,0,0,0,0,0,0
"16","m.10080",46.6064,37.7122,44.8229,49.1948,50.1728,49.1218,33.2116,40.9421,32.616,36.1435,31.5314,36.779,34.2,23.396,26.0988,46.6524,32.3317,35.7442,25.251,36.0594,20.2577,31.0247,28.0349,18.9084,15.5184,20.6982,27.6249,32.2735,39.9507,33.7175,16.8972,28.4162,16.7128,29.0323,25.4012
"17","m.10093",3.0355,0,0,0,2.801,0,0,0,0,2.8249,4.9288,0,0,0,0,0,0,0,2.8194,3.1315,0,0,0,0,0,0,3.0844,3.153,6.9388,9.8823,6.6032,0,0,3.2416,3.3088
"18","m.10101",0,0,0,0,10.0806,0,0,0,0,10.1666,0,0,0,0,0,0,0,0,0,0,0,8.7267,9.8572,13.2966,0,0,0,0,0,0,0,0,0,0,0
"19","m.10110",0,0,0,2.6518,0,0,0,0,0,0,0,2.313,0,0,0,0,0,0,0,0,3.0575,0,2.6446,3.5674,0,0,0,0,0,0,0,0,0,0,0
"20","m.10111",27.6069,39.7129,8.8502,8.3258,25.4739,7.7592,7.8691,16.1678,15.4559,17.1275,22.4128,0,18.0072,0,7.7297,15.791,7.6606,0,0,9.4931,9.5996,22.0527,41.5157,0,12.2563,12.2604,18.701,9.5585,21.0351,9.9862,10.0089,9.6183,19.7994,9.8269,10.0308
"21","m.10117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","m.10119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","m.1013",0,0,0,0,0,0,0,0,1.7705,0,1.7116,0,4.1255,0,1.7709,0,0,0,0,0,0,0,0,0,0,0,0,2.1899,0,0,0,0,0,0,0
