Origin,Sample,Day 0,Day 7,Day 14,Day 21,Day 28,Day 35,Day 42,Day 49,Day 56,Day 63,Day 70,Day 77
N,GN1,0,0.044182622,0.044182622,0.044182622,0.035346097,0.053019146,0.035346097,0.044182622,0.088365243,0.106038292,0.114874816,0.12371134
N,GN1,0,0.080672269,0.11092437,0.100840336,0.100840336,0.121008403,0.11092437,0.141176471,0.201680672,0.242016807,0.282352941,0.262184874
N,GN1,0,0.057581574,0.057581574,0.080614203,0.080614203,0.126679463,0.149712092,0.103646833,0.24184261,0.287907869,0.333973129,0.380038388
N,GN1,0,0.088888889,0.133333333,0.166666667,0.188888889,0.233333333,0.244444444,0.277777778,0.311111111,0.333333333,0.366666667,0.377777778
N,GN1,0,0.117647059,0.199095023,0.253393665,0.307692308,0.380090498,0.416289593,0.470588235,0.561085973,0.624434389,0.669683258,0.742081448
N,GN1,0,0.05077574,0.042313117,0.016925247,0,0.016925247,-0.008462623,0.008462623,0.059238364,0.076163611,0.076163611,0.042313117
N,GN2,0,0.086799277,0.141048825,0.216998192,0.292947559,0.368896926,0.444846293,0.50994575,0.542495479,0.596745027,0.650994575,0.716094033
N,GN2,0,0.065116279,0.093023256,0.176744186,0.251162791,0.344186047,0.418604651,0.474418605,0.558139535,0.595348837,0.688372093,0.772093023
N,GN2,0,0.077669903,0.13592233,0.213592233,0.291262136,0.339805825,0.398058252,0.378640777,0.524271845,0.572815534,0.621359223,0.640776699
N,GN2,0,0.065934066,0.131868132,0.206043956,0.263736264,0.313186813,0.395604396,0.46978022,0.510989011,0.56043956,0.60989011,0.642857143
N,GN2,0,0.090604027,0.151006711,0.181208054,0.211409396,0.261744966,0.302013423,0.322147651,0.402684564,0.44295302,0.503355705,0.543624161
N,GN2,0,0.081871345,0.152046784,0.233918129,0.292397661,0.32748538,0.432748538,0.409356725,0.514619883,0.538011696,0.596491228,0.619883041
N,GN3,0,0.008746356,0.017492711,0.043731778,0.052478134,0.096209913,0.113702624,0.139941691,0.183673469,0.227405248,0.262390671,0.306122449
N,GN3,0,0.090566038,0.124528302,0.158490566,0.181132075,0.249056604,0.271698113,0.316981132,0.38490566,0.430188679,0.452830189,0.486792453
N,GN3,0,0.0768,0.096,0.1248,0.1344,0.1728,0.2112,0.2592,0.3072,0.336,0.3552,0.3936
N,GN3,0,0.085867621,0.107334526,0.118067979,0.118067979,0.150268336,0.161001789,0.203935599,0.257602862,0.279069767,0.322003578,0.343470483
N,GN3,0,0.047393365,0.056872038,0.075829384,0.085308057,0.113744076,0.132701422,0.151658768,0.199052133,0.218009479,0.236966825,0.274881517
N,GN3,0,0.065693431,0.065693431,0.076642336,0.076642336,0.087591241,0.109489051,0.131386861,0.175182482,0.197080292,0.240875912,0.284671533
N,GN4,0,0.047058824,0.082352941,0.117647059,0.129411765,0.164705882,0.176470588,0.2,0.235294118,0.258823529,0.270588235,0.305882353
N,GN4,0,0.084,0.132,0.156,0.192,0.216,0.24,0.24,0.276,0.3,0.312,0.336
N,GN4,0,0.0625,0.09375,0.114583333,0.125,0.145833333,0.15625,0.177083333,0.208333333,0.239583333,0.25,0.28125
N,GN4,0,0.011695906,0.046783626,0.046783626,0.058479532,0.093567251,0.081871345,0.081871345,0.116959064,0.140350877,0.152046784,0.16374269
N,GN4,0,0.051282051,0.08974359,0.102564103,0.115384615,0.141025641,0.166666667,0.166666667,0.205128205,0.217948718,0.243589744,0.269230769
N,GN4,0,0.067542214,0.07879925,0.112570356,0.123827392,0.157598499,0.157598499,0.168855535,0.213883677,0.247654784,0.25891182,0.281425891
N,GN5,0,0.142433234,0.195845697,0.258160237,0.293768546,0.338278932,0.391691395,0.427299703,0.480712166,0.507418398,0.543026706,0.560830861
N,GN5,0,0.025695931,0.051391863,0.077087794,0.064239829,0.102783726,0.102783726,0.102783726,0.141327623,0.154175589,0.17987152,0.17987152
N,GN5,0,-0.011406844,0.022813688,0.068441065,0.079847909,0.102661597,0.114068441,0.114068441,0.171102662,0.205323194,0.216730038,0.25095057
N,GN5,0,0.086175943,0.129263914,0.150807899,0.150807899,0.193895871,0.215439856,0.247755835,0.301615799,0.312387792,0.333931777,0.355475763
N,GN5,0,0.096618357,0.173913043,0.241545894,0.289855072,0.31884058,0.347826087,0.376811594,0.425120773,0.45410628,0.483091787,0.512077295
N,GN5,0,0.101503759,0.135338346,0.180451128,0.203007519,0.22556391,0.236842105,0.248120301,0.293233083,0.315789474,0.338345865,0.34962406
O,GC1,0,0.022140221,0.033210332,0.011070111,0.011070111,0,0.022140221,0.077490775,0.088560886,0.088560886,0.099630996,0.132841328
O,GC1,0,0.020761246,0.041522491,0.041522491,0.041522491,0.051903114,0.083044983,0.114186851,0.124567474,0.166089965,0.176470588,0.207612457
O,GC1,0,0.050359712,0.071942446,0.071942446,0.086330935,0.086330935,0.100719424,0.107913669,0.136690647,0.165467626,0.172661871,0.194244604
O,GC1,0,0.045801527,0.06870229,0.06870229,0.06870229,0.080152672,0.080152672,0.080152672,0.103053435,0.103053435,0.114503817,0.114503817
O,GC1,0,0,0.016713092,0.008356546,0.016713092,0.016713092,0.04178273,0.058495822,0.075208914,0.08356546,0.08356546,0.108635097
O,GC1,0,0.043478261,0.065217391,0.065217391,0.086956522,0.101449275,0.101449275,0.137681159,0.18115942,0.188405797,0.210144928,0.246376812
O,GC2,0,0.08095952,0.134932534,0.152923538,0.179910045,0.179910045,0.206896552,0.233883058,0.260869565,0.287856072,0.27886057,0.296851574
O,GC2,0,0.065318818,0.111975117,0.111975117,0.130637636,0.139968896,0.167962675,0.195956454,0.223950233,0.223950233,0.233281493,0.270606532
O,GC2,0,0.06,0.108,0.108,0.132,0.144,0.168,0.192,0.204,0.204,0.216,0.228
O,GC2,0,0.050761421,0.111675127,0.131979695,0.14213198,0.162436548,0.172588832,0.192893401,0.203045685,0.203045685,0.21319797,0.223350254
O,GC2,0,0.047244094,0.094488189,0.103937008,0.122834646,0.141732283,0.141732283,0.160629921,0.188976378,0.188976378,0.207874016,0.226771654
O,GC2,0,0.053915276,0.084724005,0.10012837,0.107830552,0.130937099,0.154043646,0.177150193,0.200256739,0.200256739,0.207958922,0.207958922
O,GC3,0,0.075829384,0.104265403,0.132701422,0.142180095,0.132701422,0.170616114,0.180094787,0.199052133,0.208530806,0.227488152,0.246445498
O,GC3,0,0.031704095,0.055482166,0.06340819,0.06340819,0.055482166,0.095112285,0.118890357,0.12681638,0.150594452,0.150594452,0.166446499
O,GC3,0,0.048465267,0.067851373,0.077544426,0.096930533,0.096930533,0.135702746,0.155088853,0.164781906,0.17447496,0.20355412,0.222940226
O,GC3,0,0.070175439,0.114035088,0.149122807,0.166666667,0.140350877,0.166666667,0.219298246,0.254385965,0.280701754,0.289473684,0.298245614
O,GC3,0,0.043636364,0.076363636,0.076363636,0.087272727,0.065454545,0.098181818,0.12,0.130909091,0.152727273,0.152727273,0.163636364
O,GC3,0,0.058465286,0.087697929,0.116930572,0.131546894,0.124238733,0.168087698,0.182704019,0.204628502,0.204628502,0.226552984,0.241169306
O,GC4,0,0.033149171,0.055248619,0.055248619,0.055248619,0.033149171,0.066298343,0.077348066,0.08839779,0.077348066,0.08839779,0.08839779
O,GC4,0,0.009360374,0.028081123,0.028081123,0.037441498,0.018720749,0.056162246,0.08424337,0.102964119,0.08424337,0.121684867,0.121684867
O,GC4,0,0.010657194,0.021314387,0.021314387,0.021314387,0,-0.010657194,0.042628774,0.053285968,0.063943162,0.063943162,0.074600355
O,GC4,0,0.064516129,0.064516129,0.075268817,0.086021505,0.064516129,0.096774194,0.107526882,0.107526882,0.11827957,0.129032258,0.139784946
O,GC4,0,0.079734219,0.099667774,0.109634551,0.119601329,0.119601329,0.129568106,0.149501661,0.159468439,0.159468439,0.179401993,0.179401993
O,GC4,0,0.02238806,0.03358209,0.03358209,0.03358209,0.01119403,0.03358209,0.044776119,0.044776119,0.044776119,0.055970149,0.055970149
O,GC5,0,0.016371078,0.008185539,0.016371078,0.016371078,0.024556617,0.024556617,0.049113233,0.07366985,0.098226467,0.106412005,0.122783083
O,GC5,0,0.02866242,0.057324841,0.076433121,0.095541401,0.085987261,0.114649682,0.124203822,0.152866242,0.152866242,0.171974522,0.191082803
O,GC5,0,0.037220844,0.066997519,0.096774194,0.089330025,0.089330025,0.111662531,0.133995037,0.148883375,0.163771712,0.171215881,0.193548387
O,GC5,0,0.054216867,0.072289157,0.072289157,0.063253012,0.054216867,0.081325301,0.090361446,0.108433735,0.11746988,0.135542169,0.153614458
O,GC5,0,0.053191489,0.074468085,0.095744681,0.085106383,0.085106383,0.095744681,0.117021277,0.117021277,0.127659574,0.127659574,0.14893617
O,GC5,0,0.024032043,0.040053405,0.032042724,0.064085447,0.056074766,0.080106809,0.112149533,0.136181575,0.144192256,0.144192256,0.168224299
